2338	31
0
root	13.3271	31.7893	45.6724
lhipjoint	13.3271	31.7893	45.6724
lfemur	12.3491	30.73554	43.74468
ltibia	9.906961	32.65021	37.29455
lfoot	12.13684	25.62046	38.61021
ltoes	11.82582	25.41187	36.27217
rhipjoint	13.3271	31.7893	45.6724
rfemur	14.96245	31.16649	44.07016
rtibia	16.78897	32.41005	36.97229
rfoot	14.52518	26.97052	41.62773
rtoes	15.38832	25.8789	39.658
lowerback	13.3271	31.7893	45.6724
upperback	13.15968	33.81636	45.88406
thorax	13.09839	35.74815	45.20047
lowerneck	13.00828	37.59595	44.28328
upperneck	12.81929	39.19335	43.58009
head	12.61069	40.77636	42.81908
lclavicle	13.00828	37.59595	44.28328
lhumerus	9.73729	38.17646	42.9385
lradius	8.682852	35.48244	38.88132
lwrist	10.1015	38.39246	37.59509
lhand	10.81082	39.84748	36.95197
lfingers	11.10471	40.2385	36.43013
lthumb	10.81082	39.84748	36.95197
rclavicle	13.00828	37.59595	44.28328
rhumerus	15.71273	39.57983	45.08339
rradius	16.33085	36.60987	40.80848
rwrist	15.24564	39.58762	39.46029
rhand	14.70302	41.0765	38.78619
rfingers	14.7725	41.53461	38.37043
rthumb	14.70302	41.0765	38.78619
1
root	13.3284	31.6987	45.6344
lhipjoint	13.3284	31.6987	45.6344
lfemur	12.34906	30.66269	43.69775
ltibia	9.825732	32.62951	37.29474
lfoot	12.13866	25.62556	38.60463
ltoes	11.81777	25.41588	36.26802
rhipjoint	13.3284	31.6987	45.6344
rfemur	14.96229	31.09405	44.02372
rtibia	16.75789	32.57541	36.96372
rfoot	14.53181	26.99815	41.47204
rtoes	15.39564	25.96372	39.47199
lowerback	13.3284	31.6987	45.6344
upperback	13.16015	33.7238	45.86348
thorax	13.10023	35.66143	45.19654
lowerneck	13.01425	37.51765	44.29609
upperneck	12.82455	39.11662	43.59666
head	12.61514	40.70668	42.85072
lclavicle	13.01425	37.51765	44.29609
lhumerus	9.742256	38.121	42.96389
lradius	8.674431	35.43507	38.90484
lwrist	10.09204	38.34589	37.61927
lhand	10.80085	39.8013	36.97649
lfingers	11.10229	40.20401	36.468
lthumb	10.80085	39.8013	36.97649
rclavicle	13.01425	37.51765	44.29609
rhumerus	15.72706	39.48533	45.10783
rradius	16.36588	36.57924	40.79227
rwrist	15.27706	39.5634	39.46127
rhand	14.73265	41.05549	38.79577
rfingers	14.8001	41.51524	38.3815
rthumb	14.73265	41.05549	38.79577
2
root	13.3297	31.608	45.5939
lhipjoint	13.3297	31.608	45.5939
lfemur	12.34895	30.58515	43.65099
ltibia	9.755975	32.60785	37.29337
lfoot	12.14191	25.62812	38.60151
ltoes	11.79976	25.42316	36.26751
rhipjoint	13.3297	31.608	45.5939
rfemur	14.96204	31.01784	43.97629
rtibia	16.70756	32.73221	36.95658
rfoot	14.53967	26.99916	41.29464
rtoes	15.40205	26.01426	39.26912
lowerback	13.3297	31.608	45.5939
upperback	13.16063	33.63074	45.84239
thorax	13.10145	35.57376	45.19123
lowerneck	13.01831	37.43542	44.30183
upperneck	12.82844	39.03613	43.60643
head	12.617	40.63369	42.87729
lclavicle	13.01831	37.43542	44.30183
lhumerus	9.745506	38.05421	42.97873
lradius	8.666207	35.37007	38.92154
lwrist	10.0789	38.27761	37.62321
lhand	10.78525	39.73139	36.97404
lfingers	11.08419	40.15911	36.48487
lthumb	10.78525	39.73139	36.97404
rclavicle	13.01831	37.43542	44.30183
rhumerus	15.7371	39.39195	45.12048
rradius	16.39577	36.55373	40.76294
rwrist	15.30337	39.54478	39.45048
rhand	14.75717	41.04032	38.79425
rfingers	14.82117	41.501	38.38046
rthumb	14.75717	41.04032	38.79425
3
root	13.3335	31.5161	45.5546
lhipjoint	13.3335	31.5161	45.5546
lfemur	12.34582	30.50588	43.60859
ltibia	9.694886	32.59158	37.29539
lfoot	12.14275	25.63321	38.60295
ltoes	11.79737	25.43143	36.26914
rhipjoint	13.3335	31.5161	45.5546
rfemur	14.96023	30.93485	43.92814
rtibia	16.64962	32.85298	36.94753
rfoot	14.54986	26.97006	41.11509
rtoes	15.40104	26.03037	39.06352
lowerback	13.3335	31.5161	45.5546
upperback	13.16394	33.53659	45.82044
thorax	13.10343	35.48481	45.18514
lowerneck	13.02142	37.35294	44.30929
upperneck	12.8281	38.95529	43.61866
head	12.61302	40.55848	42.90303
lclavicle	13.02142	37.35294	44.30929
lhumerus	9.746947	37.98628	42.99725
lradius	8.670386	35.3084	38.9352
lwrist	10.06994	38.21253	37.61518
lhand	10.76972	39.66459	36.95517
lfingers	11.05764	40.1285	36.49313
lthumb	10.76972	39.66459	36.95517
rclavicle	13.02142	37.35294	44.30929
rhumerus	15.74489	39.29934	45.13651
rradius	16.41373	36.52985	40.7365
rwrist	15.32122	39.5354	39.4577
rhand	14.77496	41.03819	38.81829
rfingers	14.83389	41.5005	38.40558
rthumb	14.77496	41.03819	38.81829
4
root	13.338	31.4217	45.5166
lhipjoint	13.338	31.4217	45.5166
lfemur	12.35248	30.41916	43.56553
ltibia	9.613827	32.57003	37.31192
lfoot	12.14118	25.63725	38.60404
ltoes	11.80754	25.43387	36.26866
rhipjoint	13.338	31.4217	45.5166
rfemur	14.96574	30.85422	43.8863
rtibia	16.56104	32.99401	36.9481
rfoot	14.58668	26.91966	40.89657
rtoes	15.4011	26.04797	38.80055
lowerback	13.338	31.4217	45.5166
upperback	13.17043	33.43988	45.80066
thorax	13.11228	35.39364	45.18239
lowerneck	13.03057	37.26812	44.3202
upperneck	12.83	38.87201	43.63522
head	12.60998	40.47929	42.93036
lclavicle	13.03057	37.26812	44.3202
lhumerus	9.754108	37.91456	43.01956
lradius	8.693055	35.26865	38.93256
lwrist	10.07734	38.1669	37.58383
lhand	10.76948	39.61603	36.90946
lfingers	11.04854	40.10862	36.47234
lthumb	10.76948	39.61603	36.90946
rclavicle	13.03057	37.26812	44.3202
rhumerus	15.75794	39.20547	45.15576
rradius	16.43648	36.50045	40.71729
rwrist	15.33623	39.51086	39.45665
rhand	14.7861	41.01606	38.82632
rfingers	14.84512	41.48275	38.41858
rthumb	14.7861	41.01606	38.82632
5
root	13.3394	31.3254	45.476
lhipjoint	13.3394	31.3254	45.476
lfemur	12.36958	30.32225	43.51739
ltibia	9.514602	32.54507	37.34145
lfoot	12.13771	25.64179	38.60027
ltoes	11.76366	25.45111	36.26994
rhipjoint	13.3394	31.3254	45.476
rfemur	14.97783	30.7784	43.84941
rtibia	16.4527	33.10003	36.9431
rfoot	14.62184	26.84902	40.67931
rtoes	15.4019	26.04866	38.54217
lowerback	13.3394	31.3254	45.476
upperback	13.17607	33.3408	45.78144
thorax	13.12466	35.30013	45.18044
lowerneck	13.04166	37.1782	44.32622
upperneck	12.83154	38.78526	43.65159
head	12.60774	40.39671	42.95753
lclavicle	13.04166	37.1782	44.32622
lhumerus	9.763116	37.83024	43.03363
lradius	8.728282	35.24044	38.90418
lwrist	10.09743	38.13679	37.53605
lhand	10.782	39.58496	36.85198
lfingers	11.05435	40.09077	36.42586
lthumb	10.782	39.58496	36.85198
